to_consider,to_delete,Uber (x = filter out),|__question_id,|__file_name,|__question,|__answer,|__options__a,|__options__b,|__options__c,|__options__d,FINAL Difficulty,Image URL,Image Source
x,,,IQ085,question085,What country's flag is this?,Japan,Japan,China,Mongolia,Canada,Easy,https://drive.google.com/file/d/1x9s5V_0gVD5VEDPLn7yX3bmeLOjurj-k/view?usp=sharing,N/A
x,,,IQ086,question086,What country's flag is this?,Brazil,Italy,Brazil,Peru,Serbia,Easy,https://drive.google.com/file/d/1xBsp8_aIphxFsbd3qaDZW8zrRy6D178Q/view?usp=sharing,N/A
x,,,IQ087,question087,What country's flag is this?,Argentina,Russia,Poland,Argentina,Mexico,Medium,https://drive.google.com/file/d/1xFeEyL3nyoPkZJNTamfDliS4-S6t_SO_/view?usp=sharing,N/A
x,,,IQ088,question088,What country's flag is this?,South Korea,Taiwan,Japan,China,South Korea,Easy,https://drive.google.com/file/d/1xI53CWdygq7biquKXJ3AeNA1oOsTTHpL/view?usp=sharing,N/A
x,,,IQ093,question093,What city is this?,San Francisco,Austin,Miami,Hong Kong,San Francisco,Easy,https://drive.google.com/open?id=19arAHCVdno7E_dgBLLWAadSjavPD-Z_I&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ094,question094,What city is this?,Chicago,Dallas,Austin,Denver,Chicago,Easy,https://drive.google.com/open?id=19YbvDfdb7PZCngTs8VVB-QYGgKyWUaqj&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ095,question095,What city is this?,New York City,Chicago,Boston,New York City,Paris,Very Easy,https://drive.google.com/open?id=19d5dE3LXGP0s6oRVtqV9fI6XXgpWZJiS&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ096,question096,What city is this?,Tokyo,Shanghai,Tokyo,Moscow,Seoul,Hard,https://drive.google.com/open?id=19NfQXvfq5DUZ3Lgco6GMGPjaWwUvvy17&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ097,question097,Where is this located?,Paris,Rome,Paris,Sydney,Barcelona,Very Easy,https://drive.google.com/open?id=13wtEueJ_-juM0nDV4-aq634qauOi7gUf&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ098,question098,Where is this located?,London,Madrid,Paris,Amsterdam,London,Very Easy,https://drive.google.com/open?id=149TYVnZ46FGSpmi3Yh7mfQJ4qKMXYed7&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ100,question100,Where is this located?,India,Iran,Saudi Arabia,India,Pakistan,Easy,https://drive.google.com/open?id=144i8Qrj-5nSY9m5Ain74cwVTZjrzwTd3&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ102,question102,Where is this located?,China,Taiwan,Egypt,Malaysia,China,Easy,https://drive.google.com/open?id=14439Epuf-eJupdf5txcyIP8x0QHCYx4-&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ103,question103,Where is this located?,Russia,Egypt,India,China,Russia,Hard,https://drive.google.com/open?id=13nqTPtEBGiGZ7GxuzcA5ZfIRIuMg75UD&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ104,question104,Where is this located?,England,New Zealand,England,Austria,Denmark,Medium,https://drive.google.com/open?id=13zaJ3W2NoVzIFqeuyZEErbrsSoGEoNGa&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ107,question107,What food is this?,Acai Bowl,Acai Bowl,Cereal,Oatmeal,Waffle,Very Easy,https://drive.google.com/open?id=111qmUXpf-gPh7AXitjY-rIw6OZp0bunM&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ109,question109,What fruit is this?,Pineapple,Pineapple,Kiwi,Banana,Mango,Very Easy,https://drive.google.com/open?id=1wSt4ypfC9CtAK9YDbQVj7dr1ICBk7AlZ&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ110,question110,What fruit is this?,Pomegranate,Papaya,Pomegranate,Lychee,Pineapple,Easy,https://drive.google.com/open?id=1wUwEBk2MzdtfZaWJv6QGGY-lrMFIp9St&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ111,question111,What fruit is this?,Durian,Lychee,Mango,Durian,Watermelon,Hard,https://drive.google.com/open?id=1wZu7rqPp62_Qr4pfUwqrR0B0G-ovCmrf&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ112,question112,What fruit is this?,Pitaya,Kiwi,Papaya,Mango,Pitaya,Hard,https://drive.google.com/open?id=1wb-zYW5pw6Sf7Qj_HDui1s8ObwWvwA7Q&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ114,question114,What vegetable is this?,Asparagus,Scallion,Leek,Asparagus,Cucumber,Very Easy,https://drive.google.com/open?id=19sIkuvgeySiG9j2HQZedVdSJOkOsFrBH&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ115,question115,What vegetable is this?,Artichoke,Okra,Artichoke,Onion,Mushroom,Easy,https://drive.google.com/open?id=1ymSrM9VcCNfwbAFOO-r4uzrt_eunpFxj&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ117,question117,What vegetable is this?,Ginger Root,Artichoke,Potato,Ginger Root,Radish,Hard,https://drive.google.com/open?id=1yrsl4w6vr60EqV5r-mwCZ9IzANmNftXu&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ121,question121,What food is this?,Sushi,Tacos,Sushi,Dumpling,Ravioli,Very Easy,https://drive.google.com/open?id=14ORBCWdd2mhVTnp_odNGUK_509qEPC8C&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ122,question122,What food is this?,Dumpling,Pão de queijo,Ravioli,Chicken,Dumpling,Easy,https://drive.google.com/open?id=14PkZBLMzikitQkVOEw2eQ0GfOa1xaeHx&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ123,question123,What food is this?,Macaron,Croissant,Biscotti,Macaron,Brownie,Easy,https://drive.google.com/open?id=14OinC3iDK_i73YMEgFDaFNzcAWOFPjaY&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ127,question127,What food is this?,Turkish Delight,Lokma,Baklava,Turkish Delight,Chocolate,Hard,https://drive.google.com/open?id=11SwAM8lnPPxIhw7_BzyepKJW0Q0aTDZr&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ129,question129,What is the name of this flower?,Rose,Rose,Lavender,Daffodil,Daisy,Very Easy,https://drive.google.com/open?id=1wD4cPvQ05WWCO5mAQwmBieEmZdJDHZjS&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ130,question130,What is the name of this flower?,Sunflower,Daffodil,Sunflower,Lily,Cherry Blossom,Very Easy,https://drive.google.com/open?id=1wFAiZpblnCDHVF7tQzmw4nPgqJZzwYAO&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ131,question131,What is the name of this flower?,Cherry Blossom,Daisy,Jasmine,Cherry Blossom,Tulip,Easy,https://drive.google.com/open?id=1wI8EHI4WvRgWmfSF7NYGLz79SjjlDigb&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ132,question132,What is the name of this flower?,Water Lily,Iris,Daisy,Jasmine,Water Lily,Easy,https://drive.google.com/open?id=1wPkeQ5iNU72VmUDG7wTfusmgx-O-RX9M&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ135,question135,What continent is this animal native to?,Africa,Africa,Australia,Asia,Europe,Easy,https://drive.google.com/open?id=1w00UntAR8aIQXW14iFAzHQEEButD34k2&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ136,question136,What continent is this animal native to?,Australia,Africa,Australia,Asia,Europe,Very Easy,https://drive.google.com/open?id=1w4jodBu23KVrsRb7rGysIxLNG8v5l6iy&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ137,question137,What sea creature is this?,Shark,Shark,Octopus,Whale,Stingray,Very Easy,https://drive.google.com/open?id=1vhWeQKzfyYLVUCcjPtg5E_VQIX0VhP31&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ138,question138,What sea creature is this?,Dolphin,Stingray,Dolphin,Sea Lion,Squid,Very Easy,https://drive.google.com/open?id=1vjKR40y8uTtDk0uZ60g_WV9Dq_LJOpNQ&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ139,question139,What sea creature is this?,Sea Turtle,Squid,Whale,Sea Turtle,Crab,Very Easy,https://drive.google.com/open?id=1vq1EcUs5Ze-Ew_8Z6kk_OBL2zso2P_Aq&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ140,question140,What sea creature is this?,Walrus,Octopus,Sea Lion,Seal,Walrus,Easy,https://drive.google.com/open?id=1vqpNh3gxVmbLk2LQH08w8rUdTVhASS3j&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ141,question141,What type of mammal is this?,Lion,Lion,Cheetah,Tiger,Panther,Very Easy,https://drive.google.com/open?id=1vSGKsgEc_TP3iLKO3g_mHhh85si_rgSF&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ142,question142,What type of mammal is this?,Elephant,Giraffe,Elephant,Hyena,Leopard,Very Easy,https://drive.google.com/open?id=1vWhqztP2OgaSvN6td-OSothNPGd-9gLW&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ143,question143,What continent is this animal native to?,Africa,Asia,Australia,Africa,Europe,Very Easy,https://drive.google.com/open?id=1vYCV2GdndP1GxGQRfPTu5_s2vUKZ4wJE&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ144,question144,What continent is this animal native to?,Australia,Africa,Europe,Asia,Australia,Easy,https://drive.google.com/open?id=1vdQ0suqRAoHJAAFD952CtI6BrVLD2sQ7&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ153,question153,How many keys are typically on a full-sized piano?,88,51,68,88,94,Hard,https://drive.google.com/open?id=1u_SXNsODPYe4PzG65zHdVwaa_KnLKQ94&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ154,question154,How many strings are typically on a guitar?,6,4,5,6,7,Easy,https://drive.google.com/open?id=1uhj_hpFr4kiffx4Y8_GPoyWLqH7FMsob&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ155,question155,What is this instrument called?,Violin,Bass,Piano,Violin,Guitar,Easy,https://drive.google.com/open?id=1utL3qd96dWTedKLeCWpT4_5BwF2RLQi-&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ156,question156,What is this instrument called?,French Horn,Flute,Tuba,Trumpet,French Horn,Hard,https://drive.google.com/open?id=1uucYIu0odvHCO-49B83XRCDlnEA9Aj2q&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ165,question165,What is the name of this painting?,Mona Lisa,Mona Lisa,Water Lilies,The Starry Night,Olympia,Easy,https://drive.google.com/open?id=1uBU4UhB9B5Is-i-aOhh8s0oDvtZiHe_f&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ166,question166,What is the name of this painting?,The Starry Night,American Gothic,Olympia,The Starry Night,Mona Lisa,Easy,https://drive.google.com/open?id=1uF259n2mSOqw-RDbMsy76fp7x1DIdf9c&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ167,question167,What is the name of this painting?,The Scream,Olympia,The Scream,Mona Lisa,American Gothic,Medium,https://drive.google.com/open?id=1uKFZIGEQC13ZXgPyScR1h2KyVxgRe7H7&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ168,question168,What is the name of this painting?,The Kiss,Mona Lisa,Olympia,Water Lilies,The Kiss,Hard,https://drive.google.com/open?id=1uKXWl_aNRgeU4VAp4B3wBK-y33BfF_JR&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ181,question181,"Outside of the U.S., what is this sport commonly called?",Football,Rugby,Kickball,Hockey,Football,Very Easy,https://drive.google.com/open?id=1tFCbXZGSMiGHgBL6owi6wIZS8DD9OaVp&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ182,question182,Where was this sport invented?,United States,Ireland,United States,Mexico,Greece,Very Easy,https://drive.google.com/open?id=1tH-U4vSgpojXY8glj5E1OdWKDe2zfevL&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ183,question183,What famous tennis event is held annually in England?,Wimbledon,Wimbledon,The Open,Roland Garros,Australian Open,Easy,https://drive.google.com/open?id=1tNaSBkX0zxST_wBOytVFKgddUzajqbHM&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ184,question184,How many innings are typically in baseball?,9,7,8,9,10,Very Easy,https://drive.google.com/open?id=1tQCkm8bSalNsdLzPE8mH6QPVMHQB97Mz&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ185,question185,Earth is the ___ planet from the sun.,Third,Third,Fourth,Fifth,Sixth,Easy,https://drive.google.com/open?id=1tA2-bafTDsdlx2xybZbx1gTPM7ycaxFO&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ186,question186,Mars is the ___ planet from the sun.,Fourth,Third,Fourth,Fifth,Sixth,Easy,https://drive.google.com/open?id=1tATJlUvHj22VUyu0bw11Ay3onTvSgzV6&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ187,question187,Jupiter is the ___ planet from the sun.,Fifth,Third,Fourth,Fifth,Sixth,Easy,https://drive.google.com/open?id=1tAyAuTpJGvlCf-PRkVOuUgwuHErG2W1E&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ188,question188,Saturn is the ___ planet from the sun.,Sixth,Third,Fourth,Fifth,Sixth,Easy,https://drive.google.com/open?id=1tBRv4R0PNcD8GnTbmOWEod-f898RgI_3&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ189,question189,What is the name of this plant?,Cactus,Cactus,Lavender,Orchid,Peace Lily,Easy,https://drive.google.com/open?id=1szG8u1wBLRLrNgsUTQMuHDIYwlZzn3eq&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ190,question190,What is the name of this plant?,Orchid,Aloe Vera,Orchid,Ivy,Cactus,Hard,https://drive.google.com/open?id=1t0QwxjulcLv_r7XB87qTzC-_YD1F0M_Z&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ191,question191,What is the name of this plant?,Aloe Vera,Ivy,Lavender,Aloe Vera,Palm,Easy,https://drive.google.com/open?id=1t1M00FajP4VEwslFgSO1olJKDQdTtlBU&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ197,question197,What type of bird is this?,Bald Eagle,Bald Eagle,Owl,Crane,Chicken,Very Easy,https://drive.google.com/open?id=1dW6wX0IFn_Zu7phA8f1tDyLGjlkmWZs5,Link
x,,,IQ198,question198,What type of bird is this?,Pigeon,Pigeon,Fowl,Swallow,Dove,Very Easy,https://drive.google.com/open?id=15tfsflWtRiyQT9eFI7AmfuMIcttPrbH5&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ199,question199,What type of bird is this?,Parrot,Dove,Parrot,Goose,Penguin,Very Easy,https://drive.google.com/open?id=14epX6nJvBDc8XLMNNqnHA0xh4NsDD3g9,Link
x,,,IQ200,question200,What type of bird is this?,Flamingo,Goose,Flamingo,Crane,Stork,Very Easy,https://drive.google.com/open?id=15sT0QNy-2qxU9StShWMAHYAhGiCJnWN0&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ201,question201,What type of bird is this?,Peacock,Penguin,Chicken,Peacock,Parrot,Very Easy,https://drive.google.com/open?id=1ArGHO2pHiVZ_JUY6X23BCzp4_YthTOQA,Link
x,,,IQ202,question202,What type of bird is this?,Hummingbird,Sparrow,Woodpecker,Hummingbird,Heron,Easy,https://drive.google.com/open?id=15sB9mgzeaqZnBE4j1xJNDnZMHpUFYCDj&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ203,question203,What type of bird is this?,Toucan,Woodpecker,Owl,Crane,Toucan,Very Easy,https://drive.google.com/open?id=1wUfz06pM95J2dARXL9GWUaONhOOM6SOj,Link
x,,,IQ204,question204,What type of bird is this?,Cardinal,Sparrow,Finch,Swallow,Cardinal,Easy,https://drive.google.com/open?id=15psypJoXCF6_seava3PkRHLziY0h0aIj&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ205,question205,What type of fish is this?,Goldfish,Goldfish,Lionfish,Clownfish,Parrotfish,Very Easy,https://drive.google.com/open?id=165DZ4-T7Akt96gbwJL1hS_vUyrT-EJhe&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ206,question206,What type of fish is this?,Clownfish,Koi,Clownfish,Goldfish,Parrotfish,Very Easy,https://drive.google.com/open?id=1645mDcCS6UbgWoU0vcrk0bKNN-_aRl98&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ207,question207,What type of fish is this?,Puffer Fish,Bass,Carp,Puffer Fish,Clownfish,Easy,https://drive.google.com/open?id=165AYO1VDR75CDhMUQTOiyxHJ_TORowUx&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ208,question208,What type of fish is this?,Koi,Clownfish,Salmon,Goldfish,Koi,Easy,https://drive.google.com/open?id=166B1QWTUtajPuCfHZwGyZ_6TG0zZYkUG&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ209,question209,What type of fish is this?,Lionfish,Lionfish,Catfish,Guppy,Zebrafish,Hard,https://drive.google.com/open?id=16-7Q_kjiKP4aGC_Pt4gvFDNuJB7pz1jk&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ215,question215,What food is this?,Croissant,Croissant,Macaron,Makmur,Galette,Very Easy,https://drive.google.com/open?id=16W_DSlD2n6ykcFEhvwIvj9qxl7LufLYQ&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ216,question216,What food is this?,Eclair,Macaron,Cupcake,Eclair,Cannoli,Easy,https://drive.google.com/open?id=16TpDUQgA8FTFhoO2HJQeT8MnOfq_v3Pu&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ217,question217,What food is this?,Cannoli,Croissant,Brownie,Cannoli,Danish,Medium,https://drive.google.com/open?id=16zihTPPie-BhqZPLRcGlAvAtfp2LxuJT&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ220,question220,What food is this?,Mille-feuille,Mille-feuille,Choux,Strudel,Brioche,Hard,https://drive.google.com/open?id=174gjHk1DhaEqG3RQwhCRH2JsJB_aO9hM&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ221,question221,What food is this?,Taiyaki,Taiyaki,Mochi,Pancake,Egg Tart,Hard,https://drive.google.com/open?id=17I8uhVy4KCn_uOR7iAzaqN4M9ZaKYewd&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ224,question224,What food is this?,Dango,Daifuku,Palmier,Meringue,Dango,Hard,https://drive.google.com/open?id=17FnML1ChAn1J5emG_tw5oBL8R638P6Ut&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ232,question232,What type of whale is this?,Beluga Whale,Blue Whale,Beluga Whale,Killer Whale,Humpback Whale,Medium,https://drive.google.com/file/d/1z40rpf2Ofc4jazCMElehUuasnC5LQ8Kn/view,Link
x,,,IQ237,question237,What is the name of this statue?,Statue of Liberty,Statue of Liberty,Sphinx,The Bowman,The Spearman,Very Easy,https://drive.google.com/open?id=18k4wC83VJtvGTWn0p_o4JgukonIAeUT0&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ240,question240,What is the name of this statue?,Christ the Redeemer,Christ of the Ozarks,Statue of Liberty,Christ the Redeemer,Farnese Hercules,Very Easy,https://drive.google.com/open?id=18KR5o0B3arJfHD3zPnRy9ZAzBcfe-_X-&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ241,question241,What is the name of this statue?,Sphinx,Sphinx,Forever Marilyn,Venus de Milo,Discobolus,Easy,https://drive.google.com/open?id=18PlENY5MxQ1d_oDG_MzXX64DoO60fDh7&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ243,question243,What is the name of this statue?,Winged Victory,Fallen Angel,The Lady,Winged Victory,Heaven on Earth,Hard,https://drive.google.com/open?id=18RLs7J4GDiW8kLZs5K_2_yLY0xesbKh8&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,Link
x,,,IQ245,question245,What element does this symbol represent?,Copper,Copper,Lithium,Fluorine,Rhodium,Easy,https://drive.google.com/open?id=191WJipCwyFhUrF60wg2Ee72wj0613tqd&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,N/A
x,,,IQ246,question246,What element does this symbol represent?,Lithium,Lithium,Boron,Potassium,Iron,Medium,https://drive.google.com/open?id=18sq4rwRoG3Nmv608Ss85xdLI2ckr_E_a&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,N/A
x,,,IQ247,question247,What element does this symbol represent?,Mercury,Neon,Copper,Mercury,Cadmium,Hard,https://drive.google.com/open?id=18wBzvlZv12hj6sOOHF0tLK-lmjCPQOtG&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,N/A
x,,,IQ248,question248,What element does this symbol represent?,Lead,Silver,Carbon,Lead,Boron,Hard,https://drive.google.com/open?id=18riwEsDZ3cVd0kDU2KnQnT53Ap-J_txJ&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,N/A
x,,,IQ249,question249,What element does this symbol represent?,Hydrogen,Hydrogen,Iron,Copper,Oxygen,Easy,https://drive.google.com/open?id=1R7ONUNb03RjSW2-kaoJt18LRGHMZfzSq&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,N/A
x,,,IQ250,question250,What element does this symbol represent?,Potassium,Zinc,Potassium,Radium,Silicon,Medium,https://drive.google.com/open?id=1R8LSvrNJ4vdPM4H8dFR4KHANinW1hdtH&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,N/A
x,,,IQ251,question251,What element does this symbol represent?,Sulfur,Copper,Silver,Sulfur,Iodine,Easy,https://drive.google.com/open?id=1RFJbna1fWRzmS_4bDw_DAqgywZ_mtrVN&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,N/A
x,,,IQ252,question252,What element does this symbol represent?,Calcium,Silver,Copper,Carbon,Calcium,Easy,https://drive.google.com/open?id=1RQbRzI7ZfnxKNPyM4_w_3LPAfYBW1Y1O&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,N/A
x,,,IQ261,question261,What state is this?,Florida,Maryland,Delaware,Nevada,Florida,Very Easy,https://drive.google.com/open?id=1SOd1XUTJ2U8q7T_RVYigSJzmx3VunICG&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,N/A
x,,,IQ262,question262,What state is this?,Texas,West Virginia,Montana,Texas,Wyoming,Very Easy,https://drive.google.com/open?id=1SNMVrJlf1SXQSn5NNTEdUMVTT9P5SL5w&authuser=solongo.enkhtor@playoctopus.com&usp=drive_fs,N/A
